amount,type,title,category,date,tags
15323.52,Income,Reset,Household,2025-04-19T00:00:00.000Z,reset
64000,Income,Tr Scale Up,Scale Up Salary,2025-05-05T00:00:00.000Z,salary
50000,Income,Kr Scale Up,Scale Up Salary,2025-05-05T00:00:00.000Z,salary
1000,Expense,Gas,Household,2025-04-22T00:00:00.000Z,monthly
1300,Expense,WiFi,Household,2025-04-22T00:00:00.000Z,monthly
500,Expense,Passport,Government,2025-04-24T00:00:00.000Z,one time
3000,Expense,Samgyup,Dining,2025-04-26T00:00:00.000Z,"one time, luxury"
3000,Income,CC Samgyup,Dining,2025-04-26T00:00:00.000Z,"cc borrow, luxury"
20000,Expense,Kr CC,Credit Card,2025-05-07T00:00:00.000Z,monthly
20000,Expense,Tr CC,Credit Card,2025-05-07T00:00:00.000Z,monthly
5000,Expense,Ate 6th,Credit Card,2025-05-07T00:00:00.000Z,one time
5000,Expense,Ate 7th,Credit Card,2025-05-07T00:00:00.000Z,one time
5000,Expense,Ate 8th,Credit Card,2025-06-07T00:00:00.000Z,one time
5000,Expense,Ate 9th,Credit Card,2025-06-07T00:00:00.000Z,one time
2000,Expense,Ate 10th,Credit Card,2025-06-07T00:00:00.000Z,one time
10000,Expense,Tr Dentist,Health,2025-06-08T00:00:00.000Z,one time
10000,Expense,Kr Dentist,Health,2025-06-08T00:00:00.000Z,one time
159.00,Expense,YouTube Premium,Software,2025-05-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-06-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-07-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-08-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-09-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-10-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-11-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2025-12-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-01-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-02-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-03-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-04-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-05-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-06-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-07-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-08-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-09-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-10-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-11-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2026-12-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-01-14T00:00:00.000Z,"monthly, subscription"
