"DATE","TYPE","FROM ACCOUNT","TO ACCOUNT/TO CATEGORY","AMOUNT","CURRENCY","AMOUNT 2","CURRENCY 2","TAGS","NOTES"
"31/08/2024","Income","EastWest HPL Game Design Corporation","Giveaways","0.1","PHP","0.1","PHP","","Bank Interest"
"30/08/2024","Income","GCash","Uniqa","4243.2","PHP","4243.2","PHP","","Return August 15-30"
"29/08/2024","Expense","Wallet Cash","Household  (Lost)","140","PHP","140","PHP","","Lost"
"29/08/2024","Transfer","EastWest CC","EastWest CC","3000","PHP","3000","PHP","","Dim Curtains"
"29/08/2024","Expense","EastWest CC","Gifts (Material)","23000","PHP","23000","PHP","","Kren's Tablet"
"29/08/2024","Expense","EastWest CC","Household  (Items)","3000","PHP","3000","PHP","","Dim Curtains"
"29/08/2024","Transfer","Kren's CC","EastWest CC","23000","PHP","23000","PHP","","Kren's Tablet"
"29/08/2024","Expense","Wallet Cash","Transport (Commute)","30","PHP","30","PHP","","Bus from Sitio Bacood to SM North"
"27/08/2024","Expense","Hard Cash","Household  (Lost)","947","PHP","947","PHP","","Lost"
"27/08/2024","Expense","GCash","Household  (Lost)","309","PHP","309","PHP","","Lost"
"27/08/2024","Transfer","Hard Cash","Wallet Cash","33","PHP","33","PHP","","Consolidate"
"25/08/2024","Expense","Hard Cash","Transport (Commute)","720","PHP","720","PHP","","Grab from Sitio Bacood to Mayfield"
"25/08/2024","Expense","Hard Cash","Gifts (Material)","1300","PHP","1300","PHP","","Tita Rem Cake"
"25/08/2024","Expense","GCash","Household  (Internet)","101","PHP","101","PHP","","Globe Load"
"24/08/2024","Expense","EastWest HPL Game Design Corporation","Household  (Transaction Fees)","18","PHP","18","PHP","","ATM withdraw fee"
"24/08/2024","Transfer","EastWest HPL Game Design Corporation","Hard Cash","3000","PHP","3000","PHP","","Withdraw"
"21/08/2024","Income","EastWest HPL Game Design Corporation","Dev Income","3000","PHP","3000","PHP","","PawAId"
"20/08/2024","Expense","GCash","Household  (Items)","1915","PHP","1915","PHP","","Wall Pegboard Set"
"20/08/2024","Expense","GCash","Kren","1500","PHP","1500","PHP","","Pay Kren"
"19/08/2024","Expense","GCash","Clothing (Laundry)","175","PHP","175","PHP","","Laundry"
"18/08/2024","Expense","GCash","Household  (Internet)","60","PHP","60","PHP","","Globe Load"
"18/08/2024","Expense","GCash","Food (Junk Food)","210","PHP","210","PHP","","Minute Burger"
"16/08/2024","Income","GCash","Uniqa","4200","PHP","4200","PHP","","August 1-15"
"14/08/2024","Transfer","Kren","Hard Cash","1500","PHP","1500","PHP","","HDMI to display port adaptor"
"14/08/2024","Expense","Hard Cash","Gadgets (Accessories)","1500","PHP","1500","PHP","","HDMI to display port adaptor"
"14/08/2024","Transfer","Kren","Hard Cash","4900","PHP","4900","PHP","","Debt Pay"
"14/08/2024","Expense","Hard Cash","Gadgets (Accessories)","4900","PHP","4900","PHP","","Smart Watch"
