amount,date,category,tags,title,type
6919.72,2025-06-01,Household,reset,Reset,Income
8500.00,2025-06-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2025-07-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2025-08-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2025-09-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2025-10-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2025-11-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2025-12-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-01-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-02-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-03-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-04-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-05-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-06-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-07-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-08-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-09-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-10-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-11-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2026-12-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-01-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-02-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-03-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-04-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-05-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-06-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-07-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-08-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-09-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-10-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-11-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
8500.00,2027-12-06T00:00:00.000Z,Household,"monthly, bills",Rent,Expense
4000.00,2025-06-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2025-07-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2025-08-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2025-09-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2025-10-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2025-11-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2025-12-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-01-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-02-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-03-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-04-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-05-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-06-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-07-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-08-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-09-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-10-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-11-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2026-12-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-01-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-02-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-03-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-04-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-05-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-06-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-07-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-08-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-09-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-10-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-11-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
4000.00,2027-12-06T00:00:00.000Z,Household,"monthly, bills",Electricity,Expense
1500.00,2025-06-07T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2025-07-05T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2025-08-02T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2025-09-06T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2025-10-04T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2025-11-01T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2025-12-06T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-01-03T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-02-07T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-03-07T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-04-04T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-05-02T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-06-06T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-07-04T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-08-01T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-09-05T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-10-03T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-11-07T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2026-12-05T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-01-02T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-02-06T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-03-06T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-04-03T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-05-01T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-06-05T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-07-03T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-08-07T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-09-04T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-10-02T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-11-06T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
1500.00,2027-12-04T00:00:00.000Z,Household,"monthly, bills",Grocery Monthly,Expense
750.00,2025-06-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2025-07-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2025-08-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2025-09-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2025-10-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2025-11-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2025-12-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-01-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-02-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-03-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-04-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-05-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-06-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-07-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-08-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-09-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-10-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-11-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2026-12-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-01-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-02-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-03-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-04-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-05-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-06-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-07-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-08-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-09-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-10-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-11-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
750.00,2027-12-06T00:00:00.000Z,Household,"monthly, bills",WiFi,Expense
500.00,2025-06-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-07-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-08-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-09-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-10-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-11-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-12-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-01-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-02-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-03-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-04-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-05-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-06-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-07-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-08-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-09-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-10-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-11-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2026-12-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-01-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-02-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-03-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-04-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-05-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-06-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-07-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-08-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-09-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-10-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-11-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2027-12-06T00:00:00.000Z,Household,"monthly, bills",Gas,Expense
500.00,2025-06-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2025-07-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2025-08-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2025-09-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2025-10-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2025-11-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2025-12-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-01-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-02-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-03-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-04-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-05-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-06-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-07-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
500.00,2026-08-06T00:00:00.000Z,Household,"monthly, bills",Water Bill,Expense
