recurring_id,type,category,subcategory,priority,account,title,amount,tags,parameters,regularity,start,end,`weekdays
,Expense,Household,,Bills,,Rent,17000,"monthly, bills",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Electricity,8000,"monthly, bills",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Grocery Monthly,3000,"monthly, bills","1, Saturday",Monthly (Week+Day),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,WiFi,1500,"monthly, bills",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Gas,1000,"monthly, bills",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Water Bill,1000,"monthly, bills",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Health,,Wants,,Gym,2000,"monthly, luxury",1,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T"
,Expense,Health,,Wants,,Spa Day 1,1000,"monthly, luxury","1, Sunday",Monthly (Week+Day),06/01/2025,12/31/2030,"T,T,T,T,T,T,T"
,Expense,Health,,Wants,,Spa Day 2,1000,"monthly, luxury","3, Sunday",Monthly (Week+Day),06/01/2025,12/31/2030,"T,T,T,T,T,T,T"
,Expense,Household,,Bills,,Sleeping pills,1000,"monthly, luxury","1, Saturday",Monthly (Week+Day),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Pets,,Pets,,Pet Monthly,5000,"monthly, pets",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Pets,,Pets,,Groom pets,2500,"monthly, pets",6,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Software,,Wants,,minimalist phone,180,"monthly, subscription",7,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Software,,Wants,,YouTube Premium,159,"monthly, subscription",14,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Income,Scale Up Salary,,Income,,Tr Scale Up,65000,salary,5,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Income,Scale Up Salary,,Income,,Kr Scale Up,55000,salary,5,Monthly (Date),06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Grocery,2000,weekly,Saturday,Weekly,06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Pets,,Pets,,Lee,500,weekly,Saturday,Weekly,06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Laundry,400,weekly,Saturday,Weekly,06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Transportation,200,weekly,Saturday,Weekly,06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Globe Load,100,weekly,Saturday,Weekly,06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Drinking Water,100,weekly,Saturday,Weekly,06/01/2025,12/31/2030,"T,T,T,T,T,T,T`"
