type,category,`weekdays,date,regularity,priority,parameters,subcategory,account,recurring_id,start,end,title,amount,tags
Income,Scale Up Salary,,2026-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2026-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2027-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
