category,end,regularity,title,start,`weekdays,priority,subcategory,tags,recurring_id,account,date,type,amount,parameters
Household,,,Rent,,,,,"monthly, bills",,,2026-04-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-05-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-06-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-07-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-08-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-09-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-10-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-11-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2026-12-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-01-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-02-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-03-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-04-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-05-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-06-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-07-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-08-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-09-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-10-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-11-06T00:00:00.000Z,Expense,17000.00,
Household,,,Rent,,,,,"monthly, bills",,,2027-12-06T00:00:00.000Z,Expense,17000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-04-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-05-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-06-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-07-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-08-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-09-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-10-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-11-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2026-12-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-01-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-02-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-03-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-04-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-05-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-06-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-07-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-08-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-09-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-10-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-11-06T00:00:00.000Z,Expense,8000.00,
Household,,,Electricity,,,,,"monthly, bills",,,2027-12-06T00:00:00.000Z,Expense,8000.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-04-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-05-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-06-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-07-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-08-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-09-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-10-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-11-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2026-12-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-01-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-02-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-03-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-04-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-05-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-06-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-07-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-08-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-09-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-10-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-11-06T00:00:00.000Z,Expense,1600.00,
Household,,,WiFi,,,,,"monthly, bills",,,2027-12-06T00:00:00.000Z,Expense,1600.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-04-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-05-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-06-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-07-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-08-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-09-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-10-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-11-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2026-12-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-01-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-02-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-03-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-04-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-05-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-06-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-07-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-08-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-09-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-10-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-11-06T00:00:00.000Z,Expense,1000.00,
Household,,,Gas,,,,,"monthly, bills",,,2027-12-06T00:00:00.000Z,Expense,1000.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-04-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-05-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-06-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-07-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-08-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-09-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-10-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-11-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2026-12-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-01-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-02-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-03-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-04-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-05-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-06-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-07-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-08-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-09-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-10-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-11-06T00:00:00.000Z,Expense,500.00,
Household,,,Water Bill,,,,,"monthly, bills",,,2027-12-06T00:00:00.000Z,Expense,500.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-04-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-05-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-06-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-07-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-08-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-09-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-10-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-11-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2026-12-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-01-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-02-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-03-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-04-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-05-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-06-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-07-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-08-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-09-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-10-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-11-01T00:00:00.000Z,Expense,3000.00,
Health,,,Gym,,,,,"monthly, luxury",,,2027-12-01T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-04-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-05-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-06-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-07-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-08-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-09-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-10-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-11-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2026-12-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-01-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-02-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-03-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-04-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-05-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-06-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-07-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-08-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-09-06T00:00:00.000Z,Expense,3000.00,
Pets,,,Pet Monthly,,,,,"monthly, pets",,,2027-10-06T00:00:00.000Z,Expense,3000.00,
