account,date,`weekdays,end,category,regularity,recurring_id,tags,start,priority,amount,parameters,type,title,subcategory
,2026-04-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-05-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-06-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-07-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-08-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-09-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-10-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-11-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2026-12-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-01-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-02-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-03-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-04-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-05-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-06-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-07-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-08-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-09-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-10-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-11-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2027-12-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-01-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-02-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-03-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-04-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-05-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-06-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-07-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-08-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-09-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
,2028-10-06T00:00:00.000Z,,,Household,,,"monthly, bills",,,17000.00,,Expense,Rent,
