DATE,RECURRING,RECURSION ID,EXCEPTION,NOTES,TYPE,FROM ACCOUNT,TO ACCOUNT/TO CATEGORY,SUBCATEGORY,AMOUNT,TAGS
5/7/2024,TRUE,202407080001,TRUE,Niagara Pro,Expense,EastWest CC Expenses,Software,Subscriptions,150,
5/7/2025,TRUE,202407080001,FALSE,Niagara Pro,Expense,EastWest CC Expenses,Software,Subscriptions,150,
3/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
4/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
5/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
6/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
7/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
8/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
9/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
10/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
11/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
12/14/2024,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
1/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
2/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
3/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
4/14/2025,TRUE,202407080003,TRUE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
5/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
6/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
7/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
8/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
9/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
10/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
11/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
12/14/2025,TRUE,202407080003,FALSE,YouTube Premium,Expense,EastWest CC Expenses,Software,Subscriptions,159,
